,ID,Name,Address,Rating,OpeningHour,PhoneNum,Parking,Amenities,Description,TotalCheckins,PowerLevel,NumofStation,ChargeType
22,113160,One Wilshire Parking,"624 S Grand Ave, Los Angeles, CA 90017",8,,Parking: Pay,,"Dining, Lodging, Restrooms, Shopping",Two J1772 plugs on P1 level as you enter in the far right corner.,8,,2,J-1772
23,113248,Northridge Fashion Center,"9301 Tampa Ave., Los Angeles, CA 91324",7.8,Open 24/7 - During business hours,Parking: Free,,"Dining, EV Parking, Shopping, Restrooms, Grocery",Two free Volta Chargers near CPK and Red Robin.,73,7.68 kW,3,J-1772
24,113899,University of Southern California - Shrine Parking Structure,"645 W Jefferson Blvd, Los Angeles CA 90007, United States",9,Open 24/7,Parking: Pay,,"Dining, Lodging, Restrooms, Shopping, Park","32 ChargePoint plugs
",6,,16,J-1772
25,114187,Sheraton Universal Hotel,"333 Universal City Plaza, Los Angeles CA 91608, United States",7,Open 24/7,Parking: Pay,+1 818-980-1212,"Dining, EV Parking, Lodging, Restrooms, Valet Parking, WiFi","Noodoe EV Charging Stations
",7,,11,"J-1772, Wall"
26,11497,LAX Airport - Lot 1,"1 World Way, Los Angeles, CA 90045",1,,Parking: Pay,+1 855-900-7584,"Dining, Restrooms, EV Parking, Shopping","Located inside Lot 1 (very first lot) ARRIVALS parking level 1 just before driving outside to the Level 2 chargers. CCS/SAE and CHAdeMO - GreenLots Asset 43008. Download Greenlots app. Down sometimes, check status here before expecting to charge. Section 1I south east corner of the structure.",334,50 kW,11,"CHAdeMO, CCS/SAE, J-1772"
27,115002,Westfield Topanga - Target,"6700 Topanga Canyon Boulevard, Canoga Park, CA 91303",10,Open 24/7,Parking: Free,,"Dining, Restrooms, Shopping, EV Parking",Six ChargePoint chargers are located in the Vanowen parking garage at the level 1 Target entrance. 6.6kw shared between the two ports.,42,,6,J-1772
28,11528,Trader Joe's,"8500 Burton Way, Los Angeles, CA 90048, USA",6.2,Open 24/7,Parking: Pay,+1 310-248-2984,"Park, EV Parking, Lodging, Shopping, Restrooms, Dining","Three pedestal stations located in Basement level of parking lot.
",36,,7,J-1772
29,11535,LADOT Encino Park and Ride,"5100 Hayvenhurst Avenue, Encino, CA 91436",1.2,Open 24/7 - Open Lot,Parking: Free,+1 866-816-7584,"Dining, Restrooms, Grocery, Shopping, EV Parking","As of 11-17-19, 5 in front are broken, but 2 near bicycle racks work for a little while. EVB0585 is unlabeled one.
",499,3 - 7 kW,7,J-1772
30,11564,Whole Foods Market Sherman Oaks West,"4520 Sepulveda Blvd, Sherman Oaks, CA 91403, USA",7.7,6:00 AM to 12:00 AM,Parking: Free,+1 818-382-3700,"Dining, Restrooms, EV Parking, Grocery, Shopping","Stations are located in the parking lot
",310,7.68 kW,3,J-1772
31,115986,Westfield Topanga - Neiman Marcus,"Kittridge Street, Canoga Park, CA 91303",7.9,,Parking: Free,,"Dining, Restrooms, Shopping","West side entrance near Neiman Markus, and ground level in front of Starbucks.",23,,6,J-1772
32,116417,Studio City Library,"12511 Moorpark St, Studio City, CA 91604",7.3,4 hour limitMonday 10AM–8PMTuesday 12–8PMWednesday 10AM–8PMThursday 12–8PMFriday 9:30AM–5:30PMSaturday 9:30AM–5:30PMSunday Closed,Parking: Free,,"Dining, Restrooms, Shopping, EV Parking",Station ID 122456,56,7 kW,1,J-1772
33,117041,12777 Jefferson Parking Structure,"12777 Jefferson, Los Angeles CA 90066",,,Parking: Pay,,"Dining, Restrooms, Shopping, Park","Enter from Beatrice St. entrance - for monthly parking users only. ""P"" parking structure in the back.",2,,7,J-1772
34,117066,Nikon Building,"6420 Wilshire Blvd, Los Angeles CA 90048, United States",,,Parking: Pay,,"Dining, Restrooms, Valet Parking, Park, EV Parking","Chargers located on first floor in valet area, before restricted employee area. Must pay to park to access.",0,,2,J-1772
35,117872,The London West Hollywood at Beverly Hills Hotel,"1020 N San Vicente Blvd, West Hollywood, California, United States, 90069",,,Parking: Free,,"Lodging, Dining, Restrooms, Shopping",Valet only,0,16 kW,1,Tesla
36,11816,TMB.com,"527 Park Ave, San Fernando, CA 91340",10,non-business hours only as employees use spaces for regular parking. often not operational on weekends.,Parking: Free,,Dining,"Four Level 2 chargers, must have ChargePoint account/app. charging price set by owner. Well-lit at night. Parking reserved for employees; public",86,,2,J-1772
37,118230,Culver City Honda,"9055 W Washington Blvd, Culver City, CA 90232",4.6,Open 7:00 AM - 9:00 PM,Parking: Free,,"WiFi, Restrooms, Dining, Shopping, EV Parking","Amid the new vehicles, off to the right of the entry area. Parking fee 10 cents per minute after 9pm. Increases to 25 cents after 9:40pm. Energy 25 cents per kw.",50,,3,"J-1772, CHAdeMO, CCS/SAE"
38,118392,Mr. C Beverly Hills,"1224 Beverwil Dr, Los Angeles, CA 90035",,,Parking: Free,+1 877-334-5623,"Valet Parking, Lodging, Dining, Restrooms, Shopping, EV Parking","They have EV charging with the valet parking service. Just ask the attendant and they'll charge it up for you. It's a Level 2 charger, but not sure how many chargers they have and what charging power it is. Teslas will need to provide adapter.",0,8 kW,5,"Tesla, J-1772"
39,11882,Plummer Park,"7377 Santa Monica Blvd., West Hollywood, CA 90069",9,Open 24/7,Parking: Free,,"WiFi, Shopping, Dining, Restrooms, EV Parking, Park",At the far end of the parking lot off Santa Monica Blvd.,235,,2,J-1772
40,118949,Van Nuys Blvd Parking/Charging,"6312 Van Nuys Blvd, Los Angeles CA 91401, United States",6.4,,Parking: Free,,"Dining, Restrooms, EV Parking, Shopping",Attached to a city street light,15,7 kW,1,J-1772
41,119354,W. 6th Street Parking/Charging,"2416 W. 6th Street, Los Angeles 90057",1,Open 24/7 - 24/7,Parking: Free,,"EV Parking, Dining, Restrooms, Park, Shopping, Grocery","Tellus Single Port, Level 2 EV Charging Station located in Eastbound lane",26,,1,J-1772
42,119370,Sherman Way Parking/Charging,"16136 Sherman Way, Van Nuys, CA 91406",1,Open 24/7 - 24/7,Parking: Free,,"Dining, EV Parking, Shopping, Restrooms","Tellus Single Port, Level 2 EV Charging Station",7,,1,J-1772
43,119377,Balboa Blvd. Parking/Charging,"8616 Balboa Blvd., Northridge, CA 91325",5.2,Open 24/7 - 24/7,Parking: Free,,"Dining, Restrooms, EV Parking, Shopping, Park","Tellus Single Port, Level 2 EV Charging Station",4,,1,J-1772
44,119380,Hazeltine Ave. Parking/Charging,"4398 Hazeltine AveSherman Oaks, CA 91423",2.3,Open 24/7 - 24/7,Parking: Free,,"Dining, Restrooms, Shopping, Grocery, Park","Tellus Single Port, Level 2 EV Charging Station outside of Ralph's on northbound lane.",38,,1,J-1772
45,119392,Wilshire La Brea Apartments,"5200 Wilshire Blvd, Los Angeles, CA 90036",10,Open 24/7,Parking: Free,,"Dining, Restrooms, WiFi, Shopping, Grocery, EV Parking","Enter on 8th or Sycamore. Two chargepoint chargers, free parking with validation for 1 hour. Ground level located by Lassen's/Apt entrance in visitor/retail parking area.",16,,1,J-1772
46,119447,Beaudry Ave Parking/Charging,"126 N Beaudry Ave, Los Angeles, California, US, 90012",1.4,,Parking: Free,+1 213-847-1828,"Dining, Restrooms, EV Parking, Shopping, Park","One paid charger on the northbound side of Beauty, on the street midway on the block.",6,7 kW,2,J-1772
47,119448,Wilton Pl Parking/Charging,"929 S. Wilton Pl., Los Angeles, CA 90019",5.2,,Parking: Free,+1 213-847-1828,,"No rush hour parking 7-9am & 4-7pm
",108,7 kW,1,J-1772
48,119449,Sawtelle Blvd Parking/Charging,"2016 Sawtelle Blvd, Los Angeles, California, US, 90025",10,Open 24/7 - Can only park for 1 hr until 8pm according to posted city parking signs👎🏿,Parking: Free,+1 213-847-1828,"Dining, Restrooms, Shopping, EV Parking",Station ID: 12585,45,7 kW,1,J-1772
49,119450,Monterey Rd Parking/Charging,"5921 Monterey Rd, Los Angeles, CA 90042, USA",1,,Parking: Free,+1 213-847-1828,"Dining, Restrooms, Park, Shopping, Grocery","1. Power is off
",15,7 kW,1,J-1772
50,120163,Highland Ave. Parking/Charging,"1530 Highland Ave., Los Angeles, CA 90028",1,Open 24/7 - 24/7,Parking: Pay,,"Lodging, Dining, Restrooms, Shopping","Tellus Single Port, Level 2 EV Charging Station",14,,1,J-1772
51,120168,Annenberg PetSpace,"12005 Bluff Creek Dr, Playa Vista, CA 90094",,,Parking: Pay,,"Dining, Restrooms, EV Parking, Park, Shopping, Grocery",Five free dual ChargePoint stations throughout lot.,1,,5,J-1772
52,120524,Malibu Villas,"12665 Village Ln, Playa Vista, CA 90094",6.6,,Parking: Free,,"Park, Dining, Restrooms, Shopping, Grocery",$1.25 per hour to charge,9,,2,J-1772
53,120804,Le Melange,"637 S Fairfax Ave, Los Angeles, CA 90036, USA",10,Open 24/7,Parking: Pay,,"EV Parking, Shopping, Grocery, Dining, Restrooms",Open to the public. $0.22 kWh energy cost and $0.25/hr parking fee for the first 2 hours. $0.50 parking fee per hour thereafter. Located in rear of building loading dock parking. Adjacent to the 99 Cents Store parking lot.,35,,1,J-1772
54,120949,Yahoo! Inc.,"11975 Bluff Creek Dr, Los Angeles, CA 90094",9,,Parking: Pay,,"Dining, Restrooms, EV Parking, Park, Shopping, Grocery","Parking for Yahoo! employees; fee required for public. 
",9,,9,J-1772
55,12104,Crescent Drive Parking Garage,"450 N Crescent Dr , Beverly Hills, California, 90210",10,,,,,Located on Parking Level B1: one straight ahead & one to the right as you enter the garage from Crescent,20,,2,J-1772
56,121410,White Memorial Medical Center,"1720 East Cesar E Chavez Avenue, Los Angeles, CA 90033",9.3,Open 24/7,Parking: Free,,"Dining, Restrooms, EV Parking, WiFi","Free level 2 EV Chargers on the top parking level
",18,,7,"J-1772, Wall"
57,12165,Westfield Topanga - Nordstrom,"6600 Topanga Canyon Boulevard Canoga Park, California 91303",8.6,Available during business hours.,Parking: Free,+1 818-715-0992,"Dining, Restrooms, Shopping","The chargers are near the Nordstrom entrance, on first floor of garage that abuts Owensmouth closer to Victory Bl. Chargers on south side of ramp up and some next to Tesla chargers on north side of ramp going up. Wall outlet on second floor on random pillars by the entrance. Parking structure opens at 9:30am.
",288,,2,J-1772
58,12201,Northridge Fashion Center - Parking Structure,"9301 Tampa Ave, Northridge, CA USA 91324",7.5,Open 24/7 - 24/7,Parking: Free,+1 818-701-7051,"Restrooms, EV Parking, WiFi, Shopping, Dining","Two Free Level 2 Volta stations are located on the second level of the parking structure, accessible from the Tampa St entrance (in front of the food court).",676,7.68 kW,8,J-1772
59,122177,10100 Santa Monica Office,10100 Santa Monica Blvd,,6a-8pm weekdays,,,,5 chargers on level 1,0,,1,J-1772
60,122273,Starbucks,"7050 Topanga Canyon Blvd, Canoga Park, CA 91303, USA",7.9,Open 24/7,Parking: Free,,"Dining, Restrooms, EV Parking, Shopping",One Chargepoint with two EVs in the Starbucks parking lot. No cost to park.,23,,1,J-1772
61,122468,Hoover St. Parking/Charging,"2919 Hoover St., Los Angeles, CA 90007",6.9,Open 24/7 - 24/7,Parking: Free,,"Dining, Restrooms, Park, Shopping, Grocery","Tellus Single Port, Level 2 EV Charging Station",7,,1,J-1772
62,122609,S. Figueroa St. Parking/Charging,"11217 S. Figueroa St., Los Angeles, CA 90044",,Open 24/7 - 24/7,Parking: Free,,,"Tellus Single Port, Level 2 EV Charging Station, Southbound lane",3,,1,J-1772
63,12282,West Hollywood Public Parking,"647 North San Vicente Blvd, West Hollywood, CA, 90069",7,Open 24/7 - 24/7,Parking: Pay,+1 310-652-5340,"Grocery, Shopping, Dining, Restrooms, Park","Two ChargePoint charging stations are located on the second floor. May have to pay to park, across the alley from the official library parking garage (which is one level).",111,,2,J-1772
64,123187,Avalon Studio 77 Guest and Retail Parking Structure,"5077 Lankershim Blvd, North Hollywood, CA 91601",10,Closes at Midnight every night or sooner.,Parking: Free,,"Shopping, EV Parking, Park, Restrooms, Dining","Enter off of Lankershim and Ostego St. Once you enter the parking structure from the public or ""retail"" entrance, turn right, and then turn left. You will see the Chargepoint dual charger next to EV/Carpool parking spaces.",124,6.6 kW,1,J-1772
65,123404,Western Avenue Parking/Charging,"1000 N. Western Avenue, 102, San Pedro, CA 90732",,No parking 2-6am,Parking: Free,,"EV Parking, Dining, Shopping, Park, Grocery, Restrooms","The charger is located curbside, northbound.",3,7 kW,1,J-1772
66,123680,LAX Airport - Lot P7,"7 World Way, Los Angeles CA 90045, United States",8,Open 24/7,Parking: Pay,,"EV Parking, Park, Dining, Restrooms",The chargers are located in parking section 1K - 18 spots.,27,,8,J-1772
67,124369,3505 Hayden,"3505 Hayden Ave., Culver City, CA 90232",,,Parking: Free,,,In parking lot.,3,,1,J-1772
68,12450,Airport Marina Ford,"5880 W Centinela Ave, Los Angeles, CA, 90045",9.3,Dealer hours: Mon. - Sat.: 9 a.m. - 10 p.m.; Sun.: 10 a.m. - 9 p.m.,Parking: Free,+1 888-438-9933,WiFi,,21,,3,J-1772
69,124808,"Martin Luther King, Jr. Park","1548 W 39th St, Los Angeles, CA 90062, USA",10,10am to 8pm,Parking: Free,,"WiFi, Park, EV Parking, Restrooms, Shopping, Dining","Four hour charging limit. 
",52,7 kW,6,J-1772
70,125154,USC Village Parking Garage,"3131 S Hoover St, Los Angeles, CA 90007",10,,Parking: Free,,"EV Parking, Shopping, Grocery, Dining, Restrooms, Park","Trader Joe's/ Target Lot
",27,,24,"Wall, J-1772"
71,125306,Encino-Tarzana Library,"18231 W Ventura Blvd, Tarzana, CA 91356",5.1,Open 24/7,Parking: Free,+1 818-343-1983,"Dining, Restrooms, EV Parking, Shopping, Grocery","Station IDs: 122043, 122044, 122045, 122046
",117,7 kW,5,J-1772
72,125409,Collision Consultants Auto Body and Paint,"2627 La Cienega Ave, 90034",,7a-5p weekdays,,,,,0,,1,J-1772
73,125426,Waldorf Astoria Beverly Hills,"9850 Wilshire Blvd, Beverly Hills, CA 90210",,Open 24/7,Parking: Pay,,"Lodging, Shopping, Dining, EV Parking, Restrooms, Valet Parking",They have Bosch chargers. Charging is free but you have to pay for valet parking.,1,,4,J-1772
74,125609,Broken Western Ave Parking/Charging,"601 S Western Ave, Los Angeles, CA 90005, USA",1,Metered parking from 8 am to 6 pm,Parking: Pay,,"Dining, Restrooms, EV Parking, Shopping, Park, Grocery","Greenlots ID: 12607
",29,7 kW,2,J-1772
75,12585,Burger King,"11546 Sherman Way, North Hollywood, CA 91605",3.6,Weekdays: 6 a.m. - 11 p.m.; Weekends: 6 a.m. - 1 a.m.,Parking: Free,+1 818-392-7903,"Shopping, EV Parking, Restrooms, Dining",Ask inside restaurant for activation. Must purchase something and wait in restaurant while charging.,127,,1,J-1772
76,125977,Cal State Los Angeles - Lot 6,"2110 Lansdowne Ave, Los Angeles CA 90032, United States",9,Open 24/7,Parking: Pay,,"EV Parking, Restrooms, Dining",Two ChargePoint chargers behind building near 30 minute parking at lot 6.,5,,1,J-1772
77,126065,Sepulveda Parking/Charging,"3630 S Sepulveda Blvd, Los Angeles CA 90034, United States",7.2,Open 24/7,Parking: Free,,"Dining, Restrooms, EV Parking, Shopping, Grocery",Greenlots ID ,10,7 kW,1,J-1772
78,126528,Samaritan Medical Tower,"1127 Wilshire Blvd, Los Angeles, CA 90017",,,Parking: Pay,,"Dining, Restrooms, EV Parking, Shopping, Park, Grocery",Parking for 1127 medical building. Designated EV spot with Tesla charger.,3,,1,Tesla
79,126752,Mosaic Hotel Beverly Hills,"125 S Spalding Dr, Beverly Hills, CA 90212, USA",,,Parking: Free,,"Restrooms, Lodging, Shopping, Dining, EV Parking, Park",Parking is not free. For guests only.,0,16 kW,2,Tesla
80,12731,Kaiser Permanente West LA Medical Center,"6041 Cadillac Ave, Los Angeles, CA 90034",5.5,,Parking: Free,,"EV Parking, Restrooms",,30,7.2 kW,3,J-1772
81,127711,Otis on campus,"9045 Lincoln Blvd, Los Angeles, CA 90045",9,"Open 24/7 - Gates are open most days 5:30a-11pm, restricted access outside of those hours. Pedestrian access only from La Tijera Blvd.",Parking: Free,+1 866-816-7584,"EV Parking, Dining, Park, Restrooms, Shopping","First floor towards the back,enter on La Tijera. Get a parking pass from Security by going to the first floor of the closest building",5,6 kW,8,J-1772
82,128148,ROW DTLA,"777 Alameda St, Los Angeles, CA 90021",10,Open 24/7,Parking: Free,,"Restrooms, Dining, Shopping, Grocery, EV Parking","At least two chargers per floor in the parking structure, through ChargePoint. Parking is free for an hour.",18,,6,J-1772
83,128539,3rd St Parking/Charging,"4075 W 3rd St, Los Angeles, CA 90020, USA",1,Open 24/7,Parking: Free,+1 855-900-7584,"Dining, EV Parking, Restrooms, Shopping",Station ID: 12580,33,7 kW,1,J-1772
84,128672,Topanga Police Department,"21501 Schoenborn St, Canoga Park, CA 91304",7.9,,Parking: Free,+1 213-361-7239,"Park, EV Parking",,286,7 kW,2,J-1772
85,128676,Modern Parking,"1627 Vine St, Los Angeles, CA 90028, USA",10,Open 24/7,Parking: Pay,,"EV Parking, Dining, Restrooms, Shopping, Grocery, Lodging","Also known as LADOT Lot 702.
",33,7 kW,5,J-1772
86,128964,Lakeview Terrace Library,"12002 Osborne St, Sylmar, CA 91342, USA",10,"Library hours only / Parking lot is locked when library is closed.
",Parking: Free,,"WiFi, Restrooms, EV Parking","In front of the public Library at the Hansen dam park. If you find chargers blocked by an internal combustion engine vehicle, please notify the library staff. Our EV chargers are run by Greenlots. If you have a problem call 1-855-900-7584 (24 hours a day) or e-mail support@greenlots.com.",40,7 kW,3,J-1772
87,13025,Kings Road Municipal Parking,"8383 Santa Monica Blvd, West Hollywood, CA, 90069",10,"M-W 6am - 12am, Thurs 6am - 2:30am, Fri 6am - 3am, Sat 8am - 3am, Sun 8am - 2:30am",Parking: Pay,+1 323-848-2067,"Dining, Restrooms, EV Parking, Park, Shopping, Grocery",Enter parking structure from Kings Road. On third floor by elevator.,30,,4,J-1772
88,131110,Sun Valley Library,"7935 Vineland Ave, Sun Valley, CA 91352",5.3,"Both stations down as of Nov 2018. Greenlots is aware, hopefully they'll fix soon.",Parking: Free,,"Shopping, Dining, Restrooms, EV Parking, Park, WiFi",,17,7 kW,2,J-1772
89,131615,Parking Garage at Howard Hughes Center,"6080 Center Dr W, Los Angeles CA 90045, United States",7.7,Open 24/7,,,,Parking structure. Level B2. Aisle B. Well marked.,10,,4,J-1772
90,132102,Sayre St Parking/Charging,"14217 Sayre St, Sylmar, CA 91342, United States",8.6,Open 24/7,Parking: Free,,"Dining, Grocery, Shopping, Restrooms, EV Parking","The charger is hooked up to a street light nearest to the intersection on Sayre / cross street is glenoaks. Curb / street parking. You can download the greenlots APP and scan the code charger station. There is a Pizza Hut across the street. There is a CVS, Food4less, Big Lots and a Bank of America two blocks from this charger.",13,,1,J-1772
91,132607,Mid Valley Regional Library,"16244 Nordhoff St, North Hills, CA 91343",8.8,"M-Th 10am-8pm
",Parking: Free,,"Dining, Restrooms, EV Parking, Shopping, Park, Grocery",,61,7 kW,5,J-1772
92,132608,Chatsworth Library,"21052 Devonshire St, Chatsworth, CA 91311",8.2,"M-Th 10am-8pm
",Parking: Free,,"Dining, Restrooms, EV Parking, Park, Shopping",Chatsworth Library,37,7 kW,3,J-1772
93,13271,Building 6464,"6464 Sunset Blvd, Los Angeles, CA 90028",6.8,,Parking: Pay,,,One dual Level 2 and one ChargePoint Combo.,90,,2,"CCS/SAE, J-1772"
94,13281,Trader Joe's,"9290 Culver Blvd., Culver City, CA 90232",10,Mon - Thurs: 8AM - 2AM; Fri - Sat: 8AM - 3AM; Sun 8AM - 1AM. No Overnight Parking.,Parking: Pay,+1 877-494-3833,"Dining, Restrooms, EV Parking, Shopping, Grocery, Park","2 Tesla CHAdeMO adapters available at station. EVgo Fast Chargers are located on the first floor of the parking structure. Enter the garage from Culver Blvd. 
",919,7.2 - 50 kW,7,"Tesla, CHAdeMO, CCS/SAE, J-1772"
95,133148,The PARK DTLA,"221 S Figueroa St, Los Angeles, CA 90012, Stati Uniti",,Open 24/7,,,"Dining, Shopping",New installation. Chargers on second floor of parking structure. Contact www.thepakdtla.com,3,,2,J-1772
96,133742,The Dylan Apartments,"7111 Santa Monica Blvd, West Hollywood, CA 90046, United States",,,Parking: Pay,,"Lodging, Restrooms, EV Parking, Dining, WiFi, Shopping, Grocery","Four ChargePoint chargers. For some reason this location only allows non-residents to access via the ChargePoint app. ChargePoint cards will NOT work - only through App will you be able to charge. 
",0,,2,J-1772
97,134128,Northridge Library,"9051 Darby Ave, Northridge, CA 91325",7.9,"M-Th 10am-8pm
",Parking: Free,+1 818-886-3640,"Dining, Restrooms, EV Parking, Shopping, Grocery, Park",Two 240v Level 2 Siemens Chargers.,52,7 kW,2,J-1772
98,134194,Friar & Sylmar Parking Garage,"14401 Friar St, Van Nuys, CA 91401, USA",,,Parking: Pay,,"EV Parking, Shopping, Dining, Restrooms, Grocery",,2,7 kW,2,J-1772
99,134195,Studio City Public Parking,"12225 Ventura Blvd, Studio City, California, US, 91604",10,,Parking: Pay,,"Dining, Shopping, Restrooms, EV Parking, Park, Grocery",,22,7 kW,8,J-1772
100,134196,LADOT Parking Lot 752,"6269 Sylmar Ave, Van Nuys, CA 91401, USA",10,6:30 AM-6PM,Parking: Pay,,"Dining, Restrooms, EV Parking, Shopping, Lodging",,17,7 kW,10,J-1772
101,134197,Mission Community Police Station,"11121 Sepulveda Blvd, Mission Hills, CA 91345, USA",10,,Parking: Free,,"Dining, Restrooms, EV Parking, Shopping, Park","EV charging spot is located in the front parking that’s open to the public. There’s no gate so I assume the parking is available 24/7. Be aware that parking is a 4 hour limit, please stay within those limits so that others can use these as well. New charger installed (Evo charge).",182,7 kW,2,J-1772
102,134510,La Brea,"165 South La Brea Ave, Los Angeles, CA 90036, USA",7.2,6:00 AM to 12:00 AM,Parking: Pay,+1 888-264-2208,"Dining, Restrooms, EV Parking, Shopping, Lodging","Enter the parking garage from the ally west of La Brea, via W 2nd St. Free Volta charging stations each provide up to two hours of free Level 2 J1772 plug.",11,7.68 kW,2,J-1772
