,ID,Name,Address,Rating,OpeningHour,PhoneNum,Parking,Amenities,Description,TotalCheckins,PowerLevel,NumofStation,ChargeType,Lat,Lon,No_of_Visit
10,110150,Kayenta Coyote Gulch Art Village,"875 Coyote Gulch Court Ivins, UT 84738",9,Open 24/7 - 24 hours,Parking: Free,+1 435-674-2306,"Dining, Restrooms",Two Tesla HPWCs and one ClipperCreek charger. Free for visitors to the Art Village.,8,8 kW,3,"Tesla, J-1772",37.185035,-113.708649,8
11,110277,Mercedes-Benz of Farmington,"555 N west bourne circle, Farmington, UT, 84025",8.4,Open 24/7 - Available 24/7 or business hours only?,Parking: Free,,"WiFi, Restrooms",,11,,1,J-1772,40.9919772,-111.900441,11
12,110862,Hyatt Centric Park City,"3551 N Escala, Park City, Utah, United States, 84098",,,Parking: Free,,"Park, Shopping, WiFi, Restrooms, EV Parking, Lodging, Dining",Hotel guests only.,0,8 kW,2,Tesla,40.6827995,-111.5591417,0
13,110942,The Duesy Shop,"481 Wall Ave, Harrisville, UT 84404",10,9a-6p M-F,Parking: Free,+1 801-732-9111,"Restrooms, WiFi, EV Parking, Shopping",Body and paint shop.,14,,2,"NEMA 14-50, Tesla",41.2678166,-111.9798989,14
14,111244,Oracle,"3450 Triumph Blvd., Lehi, UT 84043",10,,Parking: Free,,,I-15 exit 284.,10,,4,J-1772,40.4308569,-111.8816894,10
15,111400,Silver Mountain Sports Club & Spa,"2080 Gold Dust Ln, Park City, UT 84060",10,,Parking: Free,+1 435-649-6670,"EV Parking, Shopping, Restrooms, Lodging, Dining","NOT FOR RIDESHARE CHARGING. 
",13,16 kW,3,Tesla,40.6634089,-111.4960174,13
16,111775,Fairmont Aquatic Center,"1044 E Sugarmont Drive, Salt Lake City, UT 84106",8,,Parking: Free,,"Restrooms, Park, Dining, Shopping, Grocery","One dual ChargePoint station, 6.6kW. Next to pavilion at the Fairmont Aquatic Center. 4 hour limit",36,,1,J-1772,40.722017,-111.8628977,36
17,111776,Farmington Station - East,"172â€“180 N Central Ave, Farmington UT 84025, United States",8.4,,Parking: Free,,"Dining, Shopping, Grocery, EV Parking, Restrooms",on the sidewalk in the middle of the lot. In front of GNC and Sanctuary Day Spa. One EV space also has a handicapped sign. WTF!?!,56,,1,J-1772,40.9836133,-111.9078885,50
18,113070,Forest Dale Golf Course,"2375 900 E, Salt Lake City, UT 84106",6.9,,Parking: Free,,Park,"North of club house entrance. One Station, Two ports Level 2 (208+ volt) 4 Hour Limit",5,,1,J-1772,40.7192814,-111.8673858,5
19,113074,Whole Foods Market,"1131 E Wilmington Ave, Salt Lake City, UT 84106",9.3,Open 24/7,Parking: Free,,"Dining, Shopping, Grocery, Restrooms","Station is on southside of Whole Foods. One Station, Two ports Level 2 (208+ volt) 2 Hour Limit",38,,1,J-1772,40.723629,-111.861063,38
20,113077,Sorenson Multi-Cultural Center,"855 W California Avenue, Salt Lake City, UT 84104",,???,Parking: Free,,"Restrooms, Park","One dual-plug Level 2 unit, four hour Limit. Chargepoint station.",2,,1,J-1772,40.7403281,-111.917228,2
21,113079,International Peace Gardens,"1060 S 900 W, Salt Lake City, UT 84104",9,,Parking: Free,,Park,"One Station, Two ports Level 2 (208+ volt) 4 Hour Limit. West of Dalton Ave S, North of 2 tennis courts. Station is near the center of the Peace Gardens.",5,,1,J-1772,40.7459268,-111.9193473,5
22,113080,Pioneer Park,"349 W 300 S, Salt Lake City, UT, United States",6.5,Open 24/7,Parking: Free,,"EV Parking, Park, Restrooms, Dining, Shopping",Two hour limit. North side of Pioneer Park on eastbound 300 S. The station is not available on Saturdays during the Farmers Market (runs from June - October annually). Station may also be closed for set-up during other special events.,30,,1,J-1772,40.7627132,-111.9030937,30
23,113755,Hyko True Value,"1908 Industrial Cir, Salt Lake City, UT 84104",9,Open 24/7 - Chargers work 24/7 or available business hours only?,Parking: Free,,"Restrooms, Dining, Shopping",business hours M - F only: 8:00 am - 5:00 pm,7,,1,J-1772,40.7300919,-111.94741,7
24,114321,Marketplace at 18th,"369 West 1830 South, Salt Lake City, UT 84115",10,Open 24/7,Parking: Free,,"Dining, Restrooms, EV Parking, WiFi, Shopping",Immediately to the East of the Dickey's BBQ,11,,1,J-1772,40.7301034,-111.9037206,11
25,114385,Summit County Library / Kimball Jct. Transit Center,"1885 W Ute Blvd, Park City, UT 84098",9.3,Open 24/7,Parking: Free,,"Dining, Restrooms, EV Parking, Grocery, Shopping","I-80 exit 145. Two BTC DC fast chargers, both with CHAdeMO and CCS connectors. These can provide DC fast charging up to 50 kW. Also there are two Clipper Creek 6.6 kW Level 2 (J1772) chargers. Four dedicated EV charging stalls located along the south edge of the north parking lot. Please move your car when done charging so others can use the stations.",144,,6,"J-1772, CHAdeMO, CCS/SAE",40.7237307,-111.5482323,50
26,114600,Popeye's,"360 E 2400 N, Tooele, UT 84074",10,,Parking: Free,,"Dining, Restrooms, Shopping",Single level 2 charger. Currently free.,26,,1,J-1772,40.5725826,-112.2965036,26
27,114997,Holiday Inn,"10499 S Jordan Gateway, South Jordan, UT 84095",7.9,Open 24/7,Parking: Free,,"Lodging, Dining, Restrooms, EV Parking, WiFi",Two Clipper Creek J1772 and two Tesla destination chargers are located on the west side of building.,18,16 kW,4,"Tesla, J-1772",40.5610943,-111.9037206,18
28,115877,Provo City Power,"251 W. 800 N, Provo, UT 84601",10,,,,,"North East corner of lot.
",49,,1,J-1772,40.243865,-111.665006,49
29,116030,SpringHill Suites,"1141 Canyon Springs Drive, Springdale, UT 84767",10,Open 24/7,Parking: Free,+1 435-619-8220,"EV Parking, Lodging, Dining, Restrooms, WiFi, Shopping, Grocery",Six Clipper Creek Level 2 chargers for guests,20,,6,J-1772,37.1841283,-113.0032555,20
30,117069,Packsize LLC,"3760 Commons Ln, Salt Lake City, UT 84104",4.8,Open 24/7,Parking: Free,,,Public charging available on Smart Pack Way as well as private charging for Packsize employees in the parking lot. One Delta brand 25kW DC fast charger with CCS and CHAdeMO connectors available. L2 voltage is 208V.,70,50 kW,16,"CCS/SAE, CHAdeMO, J-1772",40.7465255,-111.9859149,50
31,117133,Silver Mountain Sports Club & Spa,"1526 Ute Blvd, Park City, Utah 84098",10,,Parking: Free,+1 435-575-0350,"Lodging, Dining, Restrooms, Shopping, Grocery","NOT FOR RIDESHARE CHARGING. 
",12,16 kW,3,Tesla,40.7251406,-111.5435278,12
32,118037,Boulder Mountain Lodge,"20 North Highway 12, Boulder, UT 84716",10,Open 24/7,Parking: Free,+1 435-335-7460,"Shopping, EV Parking, Dining, Restrooms, Lodging",Lodging Patrons,15,16 kW,4,"Tesla, J-1772",37.9020569,-111.4267563,15
33,118097,Moab Chevrolet,"481 S Main St, Moab, UT 84532",9,,Parking: Free,,"EV Parking, Dining, Lodging, Restrooms, Shopping, Park",Voltec charger on right side of building to left of second garage door,8,,1,J-1772,38.5657265,-109.5519847,8
34,118269,City Creek Center West,"50 Main St, Salt Lake City, UT 84144",8.2,???,Parking: Free,,"Dining, Restrooms, EV Parking, Shopping","level P3 (purple) in Zone C, a few rows from escalators.",31,,2,J-1772,40.768357,-111.8939393,31
35,121412,Weber State University - A2 Lot,"1380 Edvalson St, Ogden, UT 84403, USA",8,Open 24/7,Parking: Pay,,"Dining, Restrooms, EV Parking",on the North side Tracy Hall building in A2 lot. Weber State parking permit is required. $1.25 for 3 hour charge.,18,,2,J-1772,41.1948959,-111.9458116,18
36,121503,Best Western Plus Ruby's Inn,"26 S Main St, Bryce Canyon UT 84764, United States",10,,Parking: Free,,"Lodging, Dining, EV Parking, Restrooms, Shopping, Park, WiFi",Overflow Lot ,22,,3,"Tesla, NEMA 14-50",37.6736552,-112.1597469,22
37,121529,Maverik Gas,"965 UT-99, Fillmore, UT 84631",7.8,Open 24/7,Parking: Free,+1 435-743-7511,"Dining, Restrooms, EV Parking, Park, WiFi, Grocery","I-15 exit 163. Maverik gas station with restrooms, food & dining areas and playground. One dual-standard DCFC station (~50 kW) and one Level 2 plug (6.6 kW).",57,6.6 - 50 kW,3,"CHAdeMO, CCS/SAE, J-1772",38.9481439,-112.3477527,50
38,121699,Maverick,"980 Hoodoo Way, Washington, UT 84780",8,Open 24/7,Parking: Free,,"Dining, Restrooms, EV Parking, Shopping","I-15 exit 13. DC Fast combo CHAdeMO/CCS, 50 kW",70,6.6 - 50 kW,3,"J-1772, CHAdeMO, CCS/SAE",37.1448214,-113.4891693,50
39,121954,Aggie Parking Terrace,"0199 N Old Main Hill Logan, Utah 84321",,"The Aggie Terrace is a 24/5 parking structure. The gates will be lifted at 5:30p.m. on Fridays and lowered Mondays at 7:30a.m. An attendant will be at the Visitors Center located at 700 E 600 N from Monday- Thursday 7:30a.m. to 10:00p.m.,Fridays 7:30a.m. to 5:30p.m. Summer hours may vary.",,+1 435-797-6869,,"Located on the 4th level of the parking structure, first stall north of the exit.",2,,2,"J-1772, Wall",41.7421521,-111.8103517,2
40,12267,Hilton Salt Lake City Center,"255 South West Temple, Salt Lake City, UT 84101",8.4,Open 24/7 - 24/7,Parking: Pay,+1 801-328-2000,"Lodging, Restrooms, Dining, EV Parking, Shopping",The hotel has a NEMA 14-50 outlet in the valet parking area on parking level 1. It is intended for hotel guests.,9,16 kW,2,"Tesla, NEMA 14-50",40.7639002,-111.8952901,9
41,122891,Entrada Escalante Lodge,"480 West Main Street, Hwy 12, Escalante, UT 84726",8.3,,Parking: Free,,"WiFi, Shopping, Lodging, EV Parking, Restrooms, Dining",,9,16 kW,2,Tesla,37.7712914,-111.6115933,9
42,123761,AAA Farmington,"1067 W. Grand Avenue, Farmington, UT 84025",10,Open 24/7,Parking: Free,,"EV Parking, Restrooms, Dining, Shopping",two stations on the Chargepoint network at the west corner of the building.,20,,1,J-1772,40.9881225,-111.9125703,20
43,124224,La Quinta Inn and Suites,"101 E 500 N, La Verkin, UT 84745",8,Open 24/7,Parking: Free,+1 435-635-3111,"Restrooms, EV Parking, WiFi, Lodging, Dining",,15,16 kW,6,"Tesla, J-1772",37.211531,-113.2703444,15
44,124421,USU Brigham City,"989 S. Main St., Brigham City, UT 84302",10,Open 24/7,Parking: Free,,"Dining, Restrooms, EV Parking, Shopping",Located in the south parking lot. One Siemens 30A unit on a 208v circuit.,54,,1,J-1772,41.4901483,-112.0168119,50
45,127389,Synchrony Bank Ad Corporate,"170 S Election Rd, Draper, UT 84020, USA",,,Parking: Free,,"Restrooms, EV Parking","2 chargers, unrestricted public use.
",1,,1,J-1772,40.5363466,-111.8980847,1
46,127476,Dell EMC,"11747 Lone Peak Pkwy, Draper, UT 84020",8.8,,Parking: Free,,"Restrooms, EV Parking",Leaders for Clean Air,10,,4,J-1772,40.5383569,-111.8986436,10
47,128359,Clean Fuels Utah,"35 E 400 S, Orem, UT 84058",10,Open 24/7,Parking: Free,+1 801-802-6080,"WiFi, Restrooms, EV Parking, Shopping","Two 32 amp J1772 chargers donated by the Leaders for Clean Air. One is located on the southwest corner of the building. Second one is on the southeast side of the building; next to the Artist's Corner. Both are free to use. No overnight parking. 240v 32 amp chargers. 
",20,,2,J-1772,40.2900585,-111.697015,20
48,128362,Larry H. Miller Chevrolet Provo,"2125 N University Pkwy, Provo, UT 84604",5.4,,Parking: Free,,"Restrooms, EV Parking, Shopping, Dining","Two level 2 chargers- one outside the service bay, one in front of sales. Both are 15A Voltec (3.6kw) units.",9,,2,J-1772,40.2613134,-111.6692912,9
49,129766,Solid Rock CafÃ©,"96 E Center St, Ephraim, UT 84627",10,Open 24/7,Parking: Free,+1 508-341-2841,"EV Parking, Dining, Restrooms, WiFi, Shopping","Public charger hosted by Solid Rock Cafe. Free for occasional use by customers. 40A L2. Open 24/7.
",18,,1,J-1772,39.3594835,-111.5867427,18
50,131591,Provo City Center,"351 Center St, Provo, UT 84601",9.6,,Parking: Free,,"Dining, Restrooms, EV Parking, Park, Shopping, Lodging",Located in parking lot off W 100 S and S 400 W at South West Corner,80,,1,J-1772,40.2330185,-111.6666828,50
51,131592,Provo Library at Academy Square,"550 N University Ave, Provo, UT 84601",8.6,Open 24/7,Parking: Free,,"EV Parking, Dining, Restrooms, Park, Shopping","Located in front of lot near corner of E 500 N and University Ave
",62,,1,J-1772,40.2410405,-111.6596748,50
52,132695,Hyatt Place St. George / Convention Center,"1819 South 120 East, St George, UT 84790",9.6,Open 24/7,Parking: Free,+1 435-656-8686,"WiFi, Restrooms, Dining, EV Parking, Lodging, Shopping",The charger is around back of the hotel next to the pool.,17,,2,J-1772,37.077067,-113.5826954,17
53,133659,Black Diamond Lodge,"2280 Deer Valley Dr E, Park City, UT 84060",,,Parking: Free,,"EV Parking, Lodging, Dining, Restrooms, Shopping, Park",Available in garage,0,,1,J-1772,40.6364402,-111.4798747,0
54,133661,Lodges at Deer Valley,"2900 Deer Valley Dr E, Park City, UT 84060",,,Parking: Free,,"WiFi, Restrooms, Dining, EV Parking, Lodging",,0,,1,J-1772,40.6441281,-111.4783175,0
55,13387,Adobe Systems,"3900 Adobe Way, Lehi, Utah, 84043",7.5,Open 24/7 - 24/7,Parking: Free,+1 801-722-7000,EV Parking,"Three public ChargePoint stations -- the Bosch chargers are employee-use only. I-15, exit 284. The charging station is in the parking lot, close to the the main entrance. Requires ChargePoint RFID card or major credit card with RFID feature.",14,,2,J-1772,40.434205,-111.8924966,14
56,134363,UVU Parking Services Charger,"376 W 900 S, Orem, UT 84058, USA",,Open 24/7,,,,Chargepoint dual port 240v 30a charger with three parking stalls behind UVU parking services building. Two stalls have 'state vehicle parking only' signs; the third does not. You can probably get away with charging here so long as you stay with your vehicle and don't draw attention to yourself.,2,,2,J-1772,40.2806786,-111.7065263,2
57,135977,Hampton Inn and Suites,"332 W Park Ln, Farmington, Utah, United States, 84025",10,Open 24/7 - 24/7,Parking: Free,+1 801-451-7999,"EV Parking, Restrooms, Lodging, WiFi, Dining","From Tesla: 6 connectors, 16kW max. Available for customers, Please see front desk.",15,16 kW,6,Tesla,40.9914361,-111.8976693,15
58,136513,Days Inn & Suites,"296 W 100 N, Kanab, UT 84741, USA",10,,Parking: Free,,"EV Parking, Lodging, Dining, Restrooms, Shopping, Park",charges at 26 miles per hour.,11,16 kW,4,Tesla,37.0503903,-112.5366132,11
59,136734,American Plaza,"222 Main St, Salt Lake City, UT 84101",10,Open 24/7,Parking: Pay,,"Lodging, Dining, Restrooms, EV Parking, Shopping, Grocery",Two ChargePoint stations in a public parking garage,10,16 kW,3,"Tesla, J-1772",40.7643704,-111.8937702,10
60,136738,Office Building,"1381 State St, Salt Lake City, UT 84115",9,Open 24/7,Parking: Free,,"Restrooms, Dining, EV Parking, Shopping, Grocery",Level 2 EV charger available on east side of DCFS building.,5,,1,J-1772,40.7396588,-111.8896223,5
61,137183,Brighton Resort,"Brighton Ski Area, 8208â€“8242 Brighton Loop, Brighton, UT 84121, United States",1.4,Open 24/7 - Apparently this station is available year-round but is intermittently out of service. Locked (not available) weekends and holidays because it restricts fire lane (as of 1/12/19).,,+1 801-532-4731,"Lodging, Dining, Restrooms, WiFi, Shopping",240v (assuming it is 30 amps) public EV station. Plug is on the outside wall of the maintenance building right across the parking lot from the Brighton Center (see photos).,18,,1,J-1772,40.5914763,-111.6152128,18
62,138363,Chevron,"Salt Lake City International Airport, 404 N Terminal Dr, Salt Lake City, UT 84116, United States",10,,Parking: Free,,"WiFi, Dining, Restrooms, EV Parking, Shopping","Located on East Side of Gas Station, next to the building. Chargepoint single station.",27,,1,J-1772,40.7755903,-111.9847645,27
63,138545,Ken Garff Honda Orem,"195 E University Pkwy, Orem, UT 84058",8.4,Open 24/7,Parking: Free,+1 801-714-2200,"WiFi, EV Parking, Restrooms, Dining, Shopping",,12,,8,J-1772,40.274156,-111.6941065,12
64,139084,Triton Terrace Apartments,"14527 Travel Dr, Draper, UT 84020, USA",,Open 24/7 - 24/7,Parking: Free,+1 866-647-5638,"Lodging, Restrooms, EV Parking","Networked dual Level 2 J1772. 
",1,,1,J-1772,40.48749,-111.88695,1
65,139099,Broken Spur Inn & Steakhouse,"955 UT-24, Torrey, UT 84775, USA",10,,Parking: Free,+1 435-425-3775,"WiFi, Lodging, Restrooms, Dining, EV Parking, Shopping",https://www.brokenspurinn.com/,24,16 kW,2,Tesla,38.2994249,-111.4027208,24
66,139528,Best Western Heber Valley,"1227 S US Highway 40, Heber City, UT 84032",8.4,Open 24/7,Parking: Free,,"Restrooms, Lodging, EV Parking, Dining, Shopping",Two level 2 chargers on the Charge Point network. Price is free but must be a network member. Located in the two spots closest to the building at the west end of the parking lot just past the front door.,20,,1,J-1772,40.492337,-111.4136667,20
67,140155,Farmington Station - South,"135 N West Promontory, F-125, Farmington, UT 84025",8.6,???,Parking: Free,,"Dining, Restrooms, EV Parking, WiFi, Shopping, Grocery",Parallel parking for two EVs in the west lot next to the buildings. Behind bluelemon.,22,,2,J-1772,40.9830343,-111.9099406,22
68,140746,Snowbird Ski Resort Garage,"9525 Little Cottonwood Canyon Rd, Sandy, UT 84092, USA",8.4,Open 24/7,Parking: Free,,"Lodging, EV Parking, Dining, Restrooms, Shopping, Park, Grocery, WiFi","Chargers are located on parking level 2. Please move your car after 4 hours or if you are fully charged, which ever comes first. There are two 40amp (208v) J1772 chargers. Also this location has 3 Tesla chargers that are load sharing a single 100amp (also 208v) line. Your charge speed on the Tesla chargers will depend on how many other Teslas are plugged in and the size of the charger in your car. (Max of 80amps)",27,16 kW,6,"Tesla, Wall, J-1772",40.582609,-111.654169,27
69,140971,Utah State University - Welcome Center/Credit Union,"Utah State University 838â€“844 E 700 N Logan, UT 84322",9,Open 24/7,Parking: Pay,,"EV Parking, Restrooms, Shopping","Free Siemens charger, EV parking metered 24-7",6,,2,J-1772,41.744823,-111.8130317,6
70,141656,Maverick Gas,"725 E Main St, Santaquin, UT 84655",10,Open 24/7,Parking: Free,+1 801-754-3076,"Shopping, Restrooms, Grocery, EV Parking",I-15 exit 244. Behind Maverik C-store north end of lot,43,50 kW,3,"J-1772, CHAdeMO, CCS/SAE",39.975967,-111.7715319,43
71,141664,Maverik Gas,"444 N Hwy 91 Cedar City, UT 84721 United States",6.3,Open 24/7,Parking: Free,+1 435-867-1187,"Dining, Restrooms, Grocery, Shopping, EV Parking",,59,50 kW,3,"CHAdeMO, CCS/SAE, J-1772",37.7307744,-113.0567227,50
72,141715,Westland Ford,"3450 Wall Ave, Ogden, UT 84401, USA",,Business hours only.,Parking: Free,+1 801-629-5500,"Shopping, Restrooms, EV Parking",EV charging station pad. Cord is in parts department. Will ask for drivers license for security deposit.,3,,1,J-1772,41.2010536,-111.9803397,3
73,141767,Millcreek City Hall,"3330 S 1300 E, Millcreek, UT 84106, USA",9.3,Weekdays 8:00 AM to 5:00 PM,,+1 801-214-2700,,Two charging stations free to the public during regular weekday business hours - 8:00 AM to 5:00 PM,10,,2,J-1772,40.6992903,-111.8578415,10
74,142119,SpringHill Suites by Marriott,"11280 South River Heights Drive, South Jordan, UT 84095",10,Open 24/7,Parking: Free,,"Lodging, EV Parking, WiFi, Dining, Restrooms, Shopping, Grocery","4 parking spots two J1772 Siemenâ€™s plugs on south side of building.
",36,,2,J-1772,40.5463864,-111.9848577,36
75,142329,Hines 2795 E,"2795 E. Cottonwood Parkway, Cottonwood Heights, USA",10,Charging during business hours.,Parking: Free,,"EV Parking, Restrooms",,12,7.2 kW,2,J-1772,40.6335533,-111.8154088,12
76,142330,Hines 2825 E,"2825 E Cottonwood Pkwy, Cottonwood Heights, UT 84121, USA",10,Charging during business hours.,Parking: Free,,"EV Parking, Restrooms",Office 2,26,7.2 kW,2,J-1772,40.633754,-111.8140115,26
77,143116,Albion Grill,"10520 E Day Lodge Rd, Alta, UT 84092",10,No overnight parking. Reserved for EV vehicles up till 10am daily. Carpool Vehicles (3+/vehicle) may park there after 10am if it is not occupied by an EV.,Parking: Free,+1 801-359-1078,"Lodging, Dining, Restrooms, EV Parking, Shopping, Park",Located on east end of Albion Grill building,12,,1,J-1772,40.590759,-111.6303847,12
78,143189,Strong VW,"1070 S Main St, Salt Lake City, UT 84101, United States",6,Open presumably during normal business hours only.,,+1 801-596-2200,,"(2) J1772 plugs, on north and south side of building.",5,,1,J-1772,40.7458458,-111.8940325,5
79,143224,Tru Hilton,"5361 Yeager Rd, Salt Lake City, UT 84116, USA",10,Open 24/7,,,,,9,,2,J-1772,40.772177,-112.021227,9
80,144229,Lone Peak Surgery Center,96 Kimballs Ln ,8.2,,Parking: Free,,"EV Parking, Restrooms, Shopping",East side of the parking lot. Four Clipper Creek High Power,17,,4,J-1772,40.5360241,-111.8901665,17
81,144460,Treehouse Athletic Club,"1101 Draper Pkwy, Draper, UT 84020",,Open 24/7,Parking: Free,+1 801-553-0123,"EV Parking, Restrooms, Shopping, Dining",Two Level 2 stations.,1,,2,J-1772,40.529681,-111.8616842,1
82,144461,SLCC Miller Campus,"9750 S 300 W, Sandy, UT 84070",7.2,Open 24/7 - Always Open,Parking: Free,,"Dining, EV Parking, Restrooms, Shopping",,5,,2,J-1772,40.575151,-111.9040466,5
83,144571,The St. Regis Deer Valley,"2300 Deer Valley Dr E, Park City, UT 84060, USA",,,Parking: Free,,"Restrooms, EV Parking, Dining, Lodging, Shopping, Park",,1,16 kW,1,Tesla,40.6381283,-111.4792878,1
84,144672,Atlantic Aviation,"485 N 2360 W, Salt Lake City, UT 84116, USA",,,Parking: Free,,"EV Parking, Restrooms",,1,10 kW,4,Tesla,40.7795029,-111.9600558,1
85,144706,Davis Hospital and Medical Center (Coming Soon),"1600 Antelope Dr, Layton, UT 84041",10,Open 24/7,Parking: Free,+1 801-807-1000,"EV Parking, Restrooms, Shopping, WiFi, Dining","*UPDATE: Currently blocked by COVID-19 testing tent
",30,,1,J-1772,41.091222,-111.997322,30
86,145756,Salt Lake Community College,"3491 S Wights Fort Rd West Jordan, UT",3.1,Open 24/7 - First 2 hr(s) Free Thereafter $10.00/hr,Parking: Pay,,"EV Parking, Restrooms, Dining, Shopping, Park",Station is west of the student pavilion,9,,1,J-1772,40.5841881,-111.97503,9
87,146376,Utah Ski Gear,"600 E 9400 S, Sandy, UT 84070",2.6,Open 24/7,Parking: Free,+1 801-413-8009,"Restrooms, EV Parking, Shopping, WiFi",,11,,1,J-1772,40.5804409,-111.8767289,11
88,146504,Weber County Library,"2464 Jefferson Ave, Ogden, UT 84401, USA",9.6,"Tesla: 
",Parking: Free,+1 801-337-2632,"EV Parking, Park, WiFi, Restrooms, Dining, Shopping",,34,6.6 kW,3,"J-1772, Tesla",41.2210847,-111.9666462,34
89,146848,Springhill Suites Logan,"635 South Riverwoods Pkwy, Logan, UT 84321",10,,Parking: Pay,,"WiFi, Shopping, Restrooms, EV Parking, Lodging, Dining","Lower level of parking structure across the small street from the front of the hotel, there is a single charger on the wall to the right as you enter with four more on the back wall.
",25,16 kW,6,"J-1772, Tesla",41.720634,-111.8363361,25
90,147033,Utah State University - Building 670 Select,"670 E 1550 N, North Logan, Utah 84341, United States",10,0800-1700 M-F Closed Sat-Sun,Parking: Free,,"Restrooms, WiFi, EV Parking, Shopping, Dining","Available ports**
",29,,4,"CHAdeMO, CCS/SAE, J-1772",41.7592959,-111.8065275,29
91,147060,Hyatt Place Salt Lake City Airport,"52 Tommy Thompson Rd, Salt Lake City, UT 84116, USA",10,,Parking: Free,,"Dining, EV Parking, Lodging, Restrooms",2 80 Amp Tesla Destination Chargers and 1 30 Amp J1772.,14,13 kW,3,"Tesla, J-1772",40.7709541,-112.0039696,14
92,147062,Comfort Inn Cedar City,"1288 S Main St, Cedar City, UT 84720",10,,Parking: Free,,"Dining, EV Parking, Restrooms, Lodging",On right side of building 4 teal hpwc,9,16 kW,4,Tesla,37.6562321,-113.0802262,9
93,152070,Maverik - Point Of The Mountain,"18414 Minuteman Dr, Draper, UT 84020",7.8,Open 24/7,Parking: Free,,"Restrooms, EV Parking, Dining",I-15 Electric Corridor,38,50 kW,4,"CHAdeMO, CCS/SAE, Wall, J-1772",40.4544178,-111.915625,38
94,152382,Best Western Zion Inn,"696 Elm St, Springdale, UT 84767, USA",10,,Parking: Free,,"Shopping, Park, WiFi, Dining, Restrooms, EV Parking, Lodging",AV charger,12,,2,J-1772,37.190743,-112.997749,12
95,152443,53 Center,"5258 S Green St, Murray, UT 84123, USA",7.3,Open 24/7,,,,"Four L2 chargers, 100% free, 4 hr limit
",19,,4,J-1772,40.6569528,-111.9056768,19
96,152458,Provo Rec Center,"North Park, 362â€“398 W 500 N, Provo, UT 84601, United States",1.2,Open 24/7 - 24/7,,,"Restrooms, Park",Standard Charger J1772 - Bottom left of the parking lot. A little to close to the park and sidewalk for my comfort but has been a good charge point so far.,40,,1,J-1772,40.2397964,-111.6689318,40
